"","name","SC0.IN0","SC0.IN1","SC1.IN0","SC1.IN1","pool","id","location_code","historic_name","latitude","longitude","water_depth","sensor_depth","rec_time","cycle_time","start_data","end_data","sampling_rate","institution_source","region","sum_bins","neg_perc_sc","accuracy","balanced_accuracy","f1","recall","precision","in_per_mooring_stats_pool"
"29","AL18_AU_WT01",54891,3494,838,39673,"test",43,"WT01","AL18_AU_WT1",71.0434667,-160.4965167,52,46.9,80,300,2018-08-17 07:00:00,2019-08-20 01:20:00,16384,"AFSC",2,98896,59.0367658954862,0.956196408348164,0.9597350611376,0.948230120222759,0.979314260324356,0.919058540088494,1
"34","AL20_AU_NM01",81387,4223,188,27154,"test",355,"NM01",NA,64.8535,-168.402,42,38,80,300,2020-09-22 07:00:00,2021-11-16 09:20:00,16384,"AFSC",1,112952,75.7932573128409,0.960948013315391,0.971897890940549,0.924879510890853,0.993124131372979,0.865410969818657,1
"35","AW12_AU_BF02",65244,3706,938,35472,"test",66,"BF02","AW12_AU_BF2",71.7514667,-154.47125,93,89.8,85,300,2012-08-31 07:00:00,2013-08-31 23:25:00,16384,"AFSC",2,105360,65.4422930903569,0.955922551252847,0.960244376599676,0.93856167645658,0.9742378467454,0.905406095257542,1
"36","AW12_AU_BS03",98512,2306,365,13657,"test",70,"BS03","AW12_AU_BS3",57.6699667,-164.7251833,52,48.8,85,300,2012-08-11 07:00:00,2013-09-13 21:25:00,16384,"AFSC",3,114840,87.7899686520376,0.976741553465691,0.975548288428129,0.910922127730532,0.973969476536871,0.855540938420096,1
"37","AW12_AU_CL01",71393,3086,1144,30337,"test",71,"CL01","AW12_AU_CL1",69.3068,-167.64795,48,52,85,300,2012-08-23 07:00:00,2013-08-26 01:25:00,16384,"AFSC",1,105960,70.2897319743299,0.960079275198188,0.961113061188442,0.934826821151239,0.963660620691846,0.907668372079107,1
"38","AW12_AU_IC01",68620,4456,409,32475,"test",72,"IC01","AW12_AU_IC1",70.8171667,-163.1364333,43,39.7,85,300,2012-08-25 07:00:00,2013-08-28 01:25:00,16384,"AFSC",2,105960,68.9656474141185,0.954086447716119,0.963292363999551,0.930315834706009,0.98756234034789,0.879342557742818,1
"39","AW12_AU_KZ01",67920,3856,1664,32160,"test",73,"KZ01","AW12_AU_KZ1",67.1248,-168.6018333,43,40,85,300,2012-08-21 07:00:00,2013-08-22 19:25:00,16384,"AFSC",1,105600,67.969696969697,0.947727272727273,0.94854073495129,0.920962199312715,0.950804162724692,0.892936472678809,1
"40","AW12_AU_NM01",60236,2334,996,41914,"test",74,"NM01","AW12_AU_NM1",64.84735,-168.3897667,42,39.2,85,300,2012-08-20 07:00:00,2013-08-21 19:25:00,16384,"AFSC",1,105480,59.319302237391,0.968430034129693,0.969743202923842,0.961793524403956,0.97678862735959,0.947251853191105,1
"42","AW12_AU_WT01",59486,3485,541,41128,"test",77,"WT01","AW12_AU_WT1",71.0458667,-160.5089,49,46.8,85,300,2012-08-30 07:00:00,2013-08-28 11:25:00,16384,"AFSC",2,104640,60.1787079510703,0.961525229357798,0.965836895713123,0.953339051018752,0.987016727063284,0.921883755855916,1
"43","AW13_AU_BF02",67755,1870,696,34959,"test",79,"BF02","AW13_AU_BF2",71.7522667,-154.4658833,100,92.7,80,300,2013-09-03 07:00:00,2014-09-29 19:20:00,16384,"AFSC",2,105280,66.1331686930091,0.975626899696049,0.976810713684177,0.964599083935765,0.980479596129575,0.94922479567732,1
